iter	Passed	Remaining
0	74	74484
1	86	43006
2	97	32564
3	110	27633
4	122	24474
5	134	22304
6	146	20805
7	158	19640
8	169	18666
9	182	18024
10	194	17478
11	206	17042
12	221	16799
13	233	16417
14	244	16082
15	256	15765
16	268	15533
17	280	15321
18	292	15119
19	305	14956
20	317	14822
21	330	14673
22	341	14512
23	353	14395
24	367	14323
25	378	14192
26	389	14053
27	402	13955
28	414	13869
29	428	13848
30	440	13784
31	453	13730
32	466	13658
33	479	13617
34	491	13563
35	504	13517
36	517	13468
37	530	13427
38	542	13379
39	558	13413
40	573	13417
41	586	13384
42	598	13325
43	614	13354
44	627	13311
45	642	13318
46	656	13316
47	670	13295
48	684	13277
49	698	13264
50	713	13268
51	727	13260
52	741	13240
53	755	13234
54	767	13183
55	779	13133
56	790	13083
57	802	13036
58	815	13000
59	829	12991
60	843	12989
61	855	12943
62	867	12906
63	880	12870
64	891	12829
65	903	12783
66	915	12741
67	926	12704
68	939	12671
69	951	12639
70	962	12598
71	975	12577
72	988	12551
73	1000	12524
74	1013	12494
75	1026	12476
76	1042	12495
77	1054	12465
78	1068	12459
79	1082	12448
80	1096	12444
81	1110	12431
82	1124	12420
83	1137	12406
84	1151	12391
85	1163	12366
86	1176	12350
87	1189	12326
88	1201	12299
89	1214	12279
90	1228	12273
91	1242	12260
92	1258	12272
93	1282	12361
94	1295	12338
95	1308	12322
96	1321	12303
97	1333	12278
98	1347	12268
99	1360	12245
100	1374	12231
101	1386	12203
102	1399	12183
103	1412	12165
104	1424	12145
105	1440	12153
106	1456	12157
107	1479	12220
108	1491	12194
109	1505	12182
110	1518	12157
111	1530	12130
112	1542	12105
113	1554	12083
114	1566	12058
115	1578	12030
116	1591	12010
117	1603	11983
118	1615	11959
119	1628	11942
120	1644	11946
121	1658	11932
122	1670	11908
123	1682	11883
124	1694	11862
125	1707	11841
126	1719	11817
127	1731	11793
128	1742	11764
129	1754	11742
130	1766	11716
131	1778	11695
132	1791	11680
133	1803	11655
134	1815	11632
135	1828	11615
136	1841	11599
137	1856	11593
138	1873	11604
139	1886	11590
140	1900	11577
141	1914	11566
142	1927	11554
143	1942	11545
144	1957	11539
145	1969	11520
146	1982	11502
147	1993	11478
148	2007	11463
149	2022	11460
150	2036	11448
151	2048	11428
152	2061	11410
153	2073	11391
154	2086	11376
155	2098	11355
156	2110	11334
157	2123	11315
158	2135	11292
159	2146	11271
160	2158	11250
161	2170	11229
162	2183	11209
163	2195	11190
164	2212	11195
165	2224	11175
166	2236	11157
167	2249	11141
168	2262	11122
169	2274	11107
170	2288	11093
171	2301	11077
172	2314	11064
173	2327	11046
174	2338	11025
175	2350	11003
176	2362	10984
177	2375	10971
178	2387	10948
179	2399	10929
180	2411	10912
181	2423	10893
182	2436	10875
183	2447	10855
184	2460	10837
185	2472	10820
186	2486	10808
187	2498	10790
188	2511	10775
189	2524	10761
190	2536	10742
191	2548	10725
192	2561	10708
193	2572	10688
194	2584	10671
195	2596	10652
196	2609	10635
197	2621	10619
198	2633	10599
199	2645	10582
200	2658	10565
201	2670	10550
202	2683	10534
203	2695	10519
204	2708	10503
205	2720	10485
206	2733	10470
207	2744	10451
208	2757	10435
209	2769	10417
210	2781	10400
211	2793	10382
212	2805	10364
213	2817	10347
214	2829	10330
215	2841	10313
216	2853	10296
217	2865	10279
218	2877	10262
219	2889	10245
220	2903	10232
221	2915	10215
222	2927	10200
223	2939	10183
224	2952	10168
225	2963	10149
226	2975	10133
227	2988	10119
228	3000	10103
229	3013	10087
230	3024	10070
231	3037	10055
232	3048	10036
233	3061	10022
234	3073	10006
235	3086	9992
236	3099	9978
237	3113	9967
238	3126	9953
239	3138	9938
240	3150	9921
241	3162	9905
242	3176	9894
243	3188	9880
244	3200	9863
245	3212	9846
246	3224	9831
247	3237	9816
248	3249	9799
249	3261	9785
250	3273	9767
251	3285	9751
252	3297	9736
253	3310	9721
254	3323	9708
255	3335	9694
256	3348	9680
257	3361	9666
258	3373	9650
259	3385	9636
260	3398	9621
261	3410	9607
262	3423	9592
263	3435	9578
264	3447	9563
265	3460	9547
266	3472	9533
267	3484	9518
268	3496	9501
269	3508	9487
270	3521	9472
271	3534	9459
272	3546	9444
273	3558	9427
274	3570	9413
275	3582	9396
276	3594	9380
277	3606	9367
278	3618	9350
279	3630	9334
280	3642	9319
281	3653	9303
282	3667	9291
283	3679	9277
284	3692	9262
285	3705	9249
286	3718	9238
287	3732	9226
288	3744	9211
289	3757	9198
290	3770	9187
291	3782	9172
292	3795	9158
293	3808	9144
294	3820	9131
295	3834	9119
296	3846	9105
297	3859	9091
298	3871	9077
299	3886	9067
300	3901	9059
301	3915	9049
302	3929	9038
303	3945	9033
